date,net_contribution,dwt_contribution,berth_duration,moor_duration,moor_num,berth_num,DailyAverageTemperature,DailyAverageRelativeHumidity,DailyAverageWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall
2021/10/12,247295.9239408205,491602.1993904359,188.86083333333335,25.948611111111113,0.833333333,5.848841028495156,66,78,6.8,0,0,0
2021/10/13,230924.49429541468,462638.54553131596,215.63972222222222,31.018055555555556,1,5.660409778834891,65,80,2.7,0,0,0
2021/10/14,184198.8156802623,382419.30041022983,212.31027777777777,48,1.833333333,5.239520407138736,65,83,1.4,0,0,0
2021/10/15,197872.1877286768,418541.9009218752,167.83027777777778,28.259444444444444,1.166666667,4.638297406013538,69,72,2.6,0,0,0
2021/10/16,193209.52046939734,408635.7475702838,154.3925,54.36944444444445,1.666666667,4.9778891944357895,71,71,2.2,0,0,0
2021/10/17,136062.54727737544,294782.8473430441,128.57444444444445,50.05638888888889,2.333333333,3.295786225217933,66,76,4.7,0.25,0,0
2021/10/18,209227.11934592016,450331.976432302,209.1725,36.015,1,5.523275999166434,56,67,6.3,0.005,0,0
2021/10/19,295530.05811664986,585364.5892629429,271.74055555555555,44.7625,1.666666667,7.8669631339492865,54,61,6.8,0,0,0
2021/10/20,229310.41816691752,457141.7878332604,241.31,66.33166666666666,2.5,6.671894442430897,57,56,5.3,0,0,0
2021/10/21,188703.83571106172,418433.21982475294,190.23083333333332,43.03666666666667,1.333333333,4.379004300727929,66,51,3.2,0,0,0
2021/10/22,295314.1907631524,639137.956888743,284.6958333333333,61.32,2.166666667,7.586521579743819,66,60,3.7,0,0,0
2021/10/23,256896.80822361851,562658.2942846583,239.74083333333334,46.084722222222226,2,6.671174731210015,63,63,4.6,0,0,0
2021/10/24,231568.0983348101,505715.1341090592,228.1786111111111,20.3575,1,5.9991473642340845,54,65,2.7,0.01,0,0
2021/10/25,256787.22491585658,554138.6689946789,253.86055555555555,14.608333333333333,0.166666667,6.28283137883173,53,69,3.1,0.03,0,0
2021/10/26,283964.36023226654,597505.7934687206,299.4033333333333,14.345555555555556,0.666666667,5.568817677122682,64,87,3.7,0.23,0,0
2021/10/27,267749.7919505806,557561.1933117916,266.8238888888889,54.5875,1.5,5.852965044405291,59,92,6.1,3.3,0,0
2021/10/28,275425.7939431671,590490.6888754006,291.5802777777778,40.989444444444445,1.166666667,9.297018190259292,57,68,8.4,0.16,0,0
2021/10/29,268026.3739610335,557753.7930397588,262.23027777777776,32.073055555555555,1.833333333,7.412486729298493,53,68,4.8,0,0,0
2021/10/30,218303.5887090534,470475.98443688505,201.35444444444445,27.428333333333335,0.5,6.041696555335328,52,75,8.8,0.41,0,0
2021/10/31,106579.04522991189,219833.28716071212,117.87777777777778,48,1.666666667,2.8694912209836727,59,88,4.4,0.57,0,0
2021/11/1,188982.3903281844,391523.30909029965,177.05444444444444,55.395,1.833333333,3.9276901035924787,59,78,5.2,0.04,0,0
2021/11/2,235486.8316094617,491821.72340467625,208.38888888888889,84.36138888888888,2.666666667,5.002444704320941,54,56,5.2,0,0,0
2021/11/3,273320.1229132334,590722.6064633623,262.44166666666666,74.52055555555556,3.166666667,7.3225262537900475,49,60,2.8,0.005,0,0
2021/11/4,311100.88297530764,637279.1688806106,263.5488888888889,37.693333333333335,1.5,7.166817037465127,46,55,4.1,0,0,0
2021/11/5,298315.0834700536,615249.1955897874,282.1041666666667,21.84111111111111,1.166666667,8.324404712087945,45,51,3.6,0,0,0
2021/11/6,275394.96899253724,582608.7881781864,239.52444444444444,0,0,6.7855400571280855,45,55,3.8,0,0,0
2021/11/7,234523.1997131492,517311.0678656329,251.3202777777778,41.78916666666667,0.166666667,5.837622031817725,46,53,2.5,0,0,0
2021/11/8,194745.06601728377,440171.2615608882,220.6611111111111,83.13222222222223,3.166666667,5.073527159768527,47,59,2.7,0,0,0
2021/11/9,229072.29496827844,480269.0035352679,208.04583333333332,63.93527777777778,2.666666667,4.601836500078871,54,52,2.7,0,0,0
2021/11/10,266165.95023659046,569343.6838539082,264.8013888888889,60.5175,2.166666667,6.586915104272229,59,56,2.6,0,0,0
2021/11/11,232184.5819567179,473574.17746861017,210.9738888888889,52.74194444444444,1.666666667,5.273878373571211,57,48,3.2,0,0,0
2021/11/12,210317.24005736466,454135.84755353717,255.27722222222224,61.23444444444444,2.666666667,6.9732508520426855,53,64,4.7,0.01,0,0
2021/11/13,209188.54226716392,462250.2339739782,249.63833333333332,57.1575,1.666666667,7.0327789998986425,58,74,5.5,0.48,0,0
2021/11/14,184758.0718823261,422316.00994814094,200.9261111111111,97.88861111111112,3,5.469629961095534,51,65,5,0.33,0,0.05
2021/11/15,136191.24879632614,302001.2881124713,162.79833333333335,89.38305555555556,3.833333333,3.82337590149866,43,64,4,0.02,0,0
